# val_loss_alpha,val_loss_phic,val_loss_h,val_spread_alpha,val_spread_phic,val_spread_h
2.182443e-01,1.244582e-01,1.387419e-01,1.380363e-01,8.649780e-02,8.340280e-02
2.170603e-01,1.256368e-01,1.387074e-01,1.367750e-01,8.515700e-02,8.293284e-02
2.205456e-01,1.247600e-01,1.371024e-01,1.338748e-01,8.510330e-02,8.278668e-02
2.224274e-01,1.195902e-01,1.417534e-01,1.341368e-01,8.498655e-02,8.270075e-02
2.412948e-01,1.289941e-01,1.431055e-01,1.368384e-01,8.499939e-02,8.315351e-02
2.081347e-01,1.277084e-01,1.399203e-01,1.337323e-01,8.558152e-02,8.407033e-02
2.152063e-01,1.229483e-01,1.374480e-01,1.324988e-01,8.556218e-02,8.261701e-02
2.350914e-01,1.315436e-01,1.372075e-01,1.345123e-01,8.458484e-02,8.290435e-02
2.162767e-01,1.275513e-01,1.388277e-01,1.358392e-01,8.654699e-02,8.356029e-02
2.229667e-01,1.209022e-01,1.380064e-01,1.336370e-01,8.795358e-02,8.242222e-02
2.156800e-01,1.314195e-01,1.369804e-01,1.328179e-01,8.627210e-02,8.376423e-02
2.307843e-01,1.238707e-01,1.370684e-01,1.334654e-01,8.690609e-02,8.308665e-02
2.270088e-01,1.331783e-01,1.472913e-01,1.338056e-01,8.531668e-02,8.370946e-02
2.529125e-01,1.311381e-01,1.401052e-01,1.351346e-01,8.631804e-02,8.362877e-02
2.223312e-01,1.255546e-01,1.411263e-01,1.334050e-01,8.812089e-02,8.294343e-02
2.201673e-01,1.412203e-01,1.476629e-01,1.326708e-01,8.277906e-02,8.273887e-02
2.056404e-01,1.364671e-01,1.405874e-01,1.342494e-01,8.626330e-02,8.379411e-02
2.084071e-01,1.334145e-01,1.388111e-01,1.331442e-01,8.453984e-02,8.347539e-02
2.189671e-01,1.321161e-01,1.372384e-01,1.314394e-01,8.521064e-02,8.255333e-02
2.374955e-01,1.244762e-01,1.430889e-01,1.315307e-01,8.562267e-02,8.230722e-02
2.313839e-01,1.342877e-01,1.401008e-01,1.328267e-01,8.619870e-02,8.353017e-02
2.250838e-01,1.305947e-01,1.391067e-01,1.311970e-01,8.623081e-02,8.315546e-02
