alpha,phi,h
0.614286,0.633058,0.606217
0.678571,0.272225,0.610350
0.460000,0.244630,0.764100
0.082539,0.262050,0.633500
0.376786,0.085744,0.806312
0.487302,0.208483,0.507544
0.459524,0.043358,0.894417
0.678571,0.272225,0.610350
0.323810,0.001650,0.722733
0.459524,0.043358,0.894417
0.595238,0.469867,0.958933
0.552381,0.093733,0.823733
0.428571,0.073600,0.520200
0.591429,0.007160,0.985440
0.290476,0.385250,0.799900
0.750000,0.173737,0.817025
0.750000,0.173737,0.817025
0.935714,0.209200,0.551750
0.538095,0.355783,0.710833
0.288571,0.230630,0.892800
0.538095,0.355783,0.710833
0.271429,0.137350,0.674000
0.222449,0.102850,0.625329
0.412500,0.400275,0.951887
0.538095,0.355783,0.710833
0.591429,0.007160,0.985440
0.935714,0.209200,0.551750
0.935714,0.209200,0.551750
0.614286,0.657600,0.492962
0.521428,0.699900,0.645583
0.271429,0.137350,0.674000
0.523810,0.361233,0.776233
0.580000,0.063670,0.663540
0.522857,0.773610,0.548300
0.750000,0.173737,0.817025
0.395238,0.299500,0.294133
0.602857,0.569940,0.457640
0.702857,0.762620,0.975000
0.597959,0.494979,0.720657
0.480000,0.057770,0.762340
0.735714,0.388092,0.740850
0.538095,0.355783,0.710833
0.222449,0.102850,0.625329
0.750000,0.173737,0.817025
0.580000,0.063670,0.663540
0.290476,0.385250,0.799900
0.759524,0.156358,0.765950
0.616667,0.078767,0.695233
0.616667,0.078767,0.695233
0.735714,0.388092,0.740850
0.288571,0.230630,0.892800
0.485714,0.207275,0.721700
0.538095,0.355783,0.710833
0.108572,0.571830,0.892240
0.538095,0.355783,0.710833
0.840000,0.637480,0.694400
0.534286,0.383410,0.870100
0.580000,0.063670,0.663540
0.552381,0.093733,0.823733
0.738096,0.169100,0.658017
0.534286,0.383410,0.870100
0.591429,0.007160,0.985440
0.082857,0.140890,0.959360
0.534286,0.383410,0.870100
0.671429,0.599208,0.606633
0.061905,0.542867,0.607250
0.591429,0.007160,0.985440
0.552381,0.093733,0.823733
0.671429,0.599208,0.606633
0.900000,0.485710,0.524600
0.814286,0.039850,0.592000
0.411905,0.238608,0.834950
0.534286,0.383410,0.870100
0.466666,0.543600,0.755567
0.628571,0.029600,0.750933
0.271429,0.137350,0.674000
0.794286,0.522360,0.489580
0.616667,0.078767,0.695233
0.591429,0.007160,0.985440
0.580000,0.063670,0.663540
0.591429,0.007160,0.985440
0.616667,0.078767,0.695233
0.222449,0.102850,0.625329
0.642857,0.515275,0.938700
0.840000,0.637480,0.694400
0.060714,0.152725,0.630250
0.616667,0.078767,0.695233
0.534286,0.383410,0.870100
0.538095,0.355783,0.710833
0.538095,0.355783,0.710833
0.222449,0.102850,0.625329
0.957143,0.494575,0.659350
0.538095,0.355783,0.710833
0.738096,0.169100,0.658017
0.538095,0.355783,0.710833
0.538095,0.355783,0.710833
0.594643,0.275181,0.576550
0.288571,0.230630,0.892800
0.420000,0.263980,0.742400
0.750000,0.173737,0.817025
0.534286,0.383410,0.870100
0.228571,0.185963,0.963550
0.538095,0.355783,0.710833
0.900000,0.485710,0.524600
0.222449,0.102850,0.625329
0.285714,0.550750,0.484800
0.616667,0.078767,0.695233
0.914286,0.461767,0.726533
0.614286,0.657600,0.492962
0.288571,0.230630,0.892800
0.814286,0.039850,0.592000
0.840000,0.637480,0.694400
0.534286,0.383410,0.870100
0.288571,0.230630,0.892800
0.538095,0.355783,0.710833
0.309524,0.099192,0.837500
0.545238,0.092717,0.903817
0.485714,0.207275,0.721700
0.538095,0.355783,0.710833
0.609524,0.254050,0.889733
0.900000,0.485710,0.524600
0.534286,0.383410,0.870100
0.411905,0.238608,0.834950
0.466666,0.543600,0.755567
0.520000,0.810470,0.831040
0.817143,0.404740,0.834240
0.538095,0.355783,0.710833
0.520000,0.810470,0.831040
0.538095,0.355783,0.710833
0.538095,0.355783,0.710833
0.504762,0.036367,0.902033
0.900000,0.485710,0.524600
0.538095,0.355783,0.710833
0.821428,0.391087,0.650650
0.738096,0.169100,0.658017
0.480000,0.057770,0.762340
0.900000,0.485710,0.524600
0.900000,0.485710,0.524600
0.580000,0.063670,0.663540
0.817143,0.404740,0.834240
0.538095,0.355783,0.710833
0.900000,0.485710,0.524600
0.580000,0.063670,0.663540
0.371429,0.711000,0.653820
0.191837,0.698129,0.592286
0.814286,0.039850,0.592000
0.328571,0.053600,0.515000
0.317460,0.171028,0.595622
0.900000,0.485710,0.524600
0.840000,0.637480,0.694400
0.538095,0.355783,0.710833
0.628571,0.029600,0.750933
0.840000,0.637480,0.694400
0.750000,0.173737,0.817025
0.591429,0.007160,0.985440
0.750000,0.173737,0.817025
0.591429,0.007160,0.985440
0.457143,0.430737,0.943300
0.425714,0.327190,0.771920
0.900000,0.485710,0.524600
0.534286,0.383410,0.870100
0.514286,0.189770,0.775680
0.237500,0.503600,0.908100
0.900000,0.485710,0.524600
0.521428,0.216650,0.755633
0.538095,0.355783,0.710833
0.433333,0.050417,0.793383
0.521428,0.699900,0.645583
0.538095,0.355783,0.710833
0.900000,0.485710,0.524600
0.591429,0.007160,0.985440
0.616667,0.078767,0.695233
0.538095,0.355783,0.710833
0.433333,0.050417,0.793383
0.552381,0.093733,0.823733
0.207936,0.403628,0.895433
0.119048,0.467706,0.540456
0.485714,0.207275,0.721700
0.738096,0.169100,0.658017
0.545238,0.092717,0.903817
0.642857,0.515275,0.938700
0.534286,0.383410,0.870100
0.750000,0.173737,0.817025
0.082857,0.140890,0.959360
0.580000,0.063670,0.663540
0.616667,0.078767,0.695233
0.628571,0.029600,0.750933
0.552381,0.093733,0.823733
0.364286,0.296588,0.186150
0.814286,0.039850,0.592000
0.552381,0.093733,0.823733
0.538095,0.355783,0.710833
0.290476,0.385250,0.799900
0.228571,0.185963,0.963550
0.428571,0.416500,0.725500
0.821428,0.391087,0.650650
0.935714,0.209200,0.551750
0.538095,0.355783,0.710833
0.296428,0.346388,0.770150
0.591429,0.007160,0.985440
0.538095,0.355783,0.710833
0.521428,0.699900,0.645583
0.288571,0.230630,0.892800
0.228571,0.185963,0.963550
0.534286,0.383410,0.870100
0.433333,0.050417,0.793383
0.616667,0.078767,0.695233
0.900000,0.485710,0.524600
0.538095,0.355783,0.710833
0.288571,0.230630,0.892800
0.480000,0.057770,0.762340
0.538095,0.355783,0.710833
0.117857,0.021513,0.735500
0.534286,0.383410,0.870100
0.914286,0.421667,0.387367
0.538095,0.355783,0.710833
0.228571,0.185963,0.963550
0.471428,0.430660,0.858780
0.480000,0.057770,0.762340
0.545238,0.092717,0.903817
0.766667,0.471233,0.960533
0.840000,0.637480,0.694400
0.642857,0.515275,0.938700
0.317460,0.171028,0.595622
0.228571,0.185963,0.963550
0.591429,0.007160,0.985440
0.371429,0.711000,0.653820
0.433333,0.050417,0.793383
0.480000,0.057770,0.762340
0.480000,0.057770,0.762340
0.616667,0.078767,0.695233
0.814286,0.039850,0.592000
0.750000,0.173737,0.817025
0.433333,0.050417,0.793383
0.900000,0.485710,0.524600
0.228571,0.185963,0.963550
0.538095,0.355783,0.710833
0.538095,0.355783,0.710833
0.119048,0.467706,0.540456
0.552381,0.093733,0.823733
0.538095,0.355783,0.710833
0.538095,0.355783,0.710833
0.591429,0.007160,0.985440
0.538095,0.355783,0.710833
0.711429,0.148280,0.811400
0.538095,0.355783,0.710833
0.534286,0.383410,0.870100
0.900000,0.485710,0.524600
0.538095,0.355783,0.710833
0.750000,0.173737,0.817025
